Sex,Year,Source,Target,Mortality Type,Value,Cause
Total,2007,Total,External Causes,Intentional self-harm,121259.9346,
Total,2008,Total,Respiratory System,Influenza,2979.310848,
Total,2008,Total,External Causes,Intentional self-harm,124766.7828,
Total,2009,Total,Respiratory System,Influenza,4190.122327,
Total,2009,Total,External Causes,Intentional self-harm,131089.6896,
Total,2010,Total,Respiratory System,Influenza,1369.418967,
Total,2010,Total,External Causes,Intentional self-harm,130777.9378,
Total,2011,Total,Respiratory System,Influenza,3659.651977,
Total,2011,Total,External Causes,Intentional self-harm,130863.234,
Total,2012,Total,Respiratory System,Influenza,4222.607516,
Total,2012,Total,External Causes,Intentional self-harm,128259.3516,
Total,2013,Total,Respiratory System,Influenza,7183.314175,
Total,2013,Total,External Causes,Intentional self-harm,129749.7899,
Total,2014,Total,Respiratory System,Influenza,6949.638566,
Total,2014,Total,External Causes,Intentional self-harm,128227.7463,
Total,2015,Total,Respiratory System,Influenza,11905.73464,
Total,2015,Total,External Causes,Intentional self-harm,125954.7418,
Total,2016,Total,Respiratory System,Influenza,8319.480888,
Total,2016,Total,External Causes,Intentional self-harm,123317.7,
Total,2017,Total,Respiratory System,Influenza,14853.11639,
Total,2017,Total,External Causes,Intentional self-harm,121408.3711,
Total,2018,Total,Respiratory System,Influenza,22160.67628,
Total,2018,Total,External Causes,Intentional self-harm,113779.0954,
Total,2019,Total,Respiratory System,Influenza,14128.58418,
Total,2019,Total,External Causes,Intentional self-harm,113238.4279,
Total,2020,Total,Respiratory System,Influenza,8589.280251,
Total,2020,Total,External Causes,Intentional self-harm,104092.4199,
Female,2000,Total,Respiratory System,Pneumonia,119874.0678,
Female,2000,Total,Respiratory System,Influenza,5012.091799,
Female,2000,Total,External Causes,Assault,8232.687368,
Female,2001,Total,Respiratory System,Pneumonia,124981.6226,
Female,2001,Total,Respiratory System,Influenza,1104.598607,
Female,2001,Total,External Causes,Assault,8811.052526,
Female,2002,Total,Respiratory System,Pneumonia,127144.3501,
Female,2002,Total,Respiratory System,Influenza,1793.310693,
Female,2002,Total,External Causes,Assault,8518.94781,
Female,2003,Total,Respiratory System,Pneumonia,132339.3323,
Female,2003,Total,Respiratory System,Influenza,2822.494308,
Female,2003,Total,External Causes,Assault,7876.468025,
Female,2004,Total,Respiratory System,Pneumonia,121255.393,
Female,2004,Total,Respiratory System,Influenza,1599.290983,
Female,2004,Total,External Causes,Assault,7659.387948,
Female,2005,Total,Respiratory System,Pneumonia,127894.8512,
Female,2005,Total,Respiratory System,Influenza,3692.113875,
Female,2005,Total,External Causes,Assault,7365.440168,
Female,2006,Total,Respiratory System,Pneumonia,119844.6981,
Female,2006,Total,Respiratory System,Influenza,1039.661085,
Female,2006,Total,External Causes,Assault,7204.103119,
Female,2007,Total,Respiratory System,Pneumonia,117290.4544,
Female,2007,Total,Respiratory System,Influenza,1089.711875,
Female,2007,Total,External Causes,Assault,6849.201986,
Female,2008,Total,Respiratory System,Pneumonia,117347.6817,
Female,2008,Total,Respiratory System,Influenza,1464.57075,
Female,2008,Total,External Causes,Assault,7149.737793,
Female,2009,Total,Respiratory System,Pneumonia,115064.0679,
Female,2009,Total,Respiratory System,Influenza,1886.117694,
Female,2009,Total,External Causes,Assault,7665.543153,
Female,2010,Total,Respiratory System,Pneumonia,113509.5888,
Female,2010,Total,Respiratory System,Influenza,634.665564,
Female,2010,Total,External Causes,Assault,7758.909307,
Female,2011,Total,Respiratory System,Pneumonia,112387.3709,
Female,2011,Total,Respiratory System,Influenza,1675.753664,
Female,2011,Total,External Causes,Assault,7828.502716,
Female,2012,Total,Respiratory System,Pneumonia,114053.1628,
Female,2012,Total,Respiratory System,Influenza,1998.621127,
Female,2012,Total,External Causes,Assault,7661.366232,
Female,2013,Total,Respiratory System,Pneumonia,116684.7366,
Female,2013,Total,Respiratory System,Influenza,3352.552285,
Female,2013,Total,External Causes,Assault,7452.415706,
Female,2014,Total,Respiratory System,Pneumonia,114861.9174,
Female,2014,Total,Respiratory System,Influenza,3210.606537,
Female,2014,Total,External Causes,Assault,7247.918562,
Female,2015,Total,Respiratory System,Pneumonia,122826.3929,
Female,2015,Total,Respiratory System,Influenza,5696.344183,
Female,2015,Total,External Causes,Assault,7152.884041,
Male,2000,Total,Other,Mental and behavioural disorders,78940.69624,
Male,2000,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",349398.6055,"Malignant neoplasms of trachea, bronchus, lung"
Male,2000,Total,Cancers,Malignant melanoma of skin,12926.9622,Malignant melanoma of skin
Female,2016,Total,Respiratory System,Pneumonia,119530.6328,
Female,2016,Total,Respiratory System,Influenza,3738.632017,
Female,2016,Total,External Causes,Assault,7758.700042,
Male,2001,Total,Other,Mental and behavioural disorders,87072.2645,
Male,2001,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",367929.9392,"Malignant neoplasms of trachea, bronchus, lung"
Male,2001,Total,Cancers,Malignant melanoma of skin,13939.94867,Malignant melanoma of skin
Female,2017,Total,Respiratory System,Pneumonia,110416.1952,
Female,2017,Total,Respiratory System,Influenza,7422.222842,
Female,2017,Total,External Causes,Assault,8085.19896,
Male,2002,Total,Other,Mental and behavioural disorders,88701.97305,
Male,2002,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",365135.4878,"Malignant neoplasms of trachea, bronchus, lung"
Male,2002,Total,Cancers,Malignant melanoma of skin,13750.8738,Malignant melanoma of skin
Female,2018,Total,Respiratory System,Pneumonia,105902.1691,
Female,2018,Total,Respiratory System,Influenza,10412.16968,
Female,2018,Total,External Causes,Assault,8073.793189,
Male,2003,Total,Other,Mental and behavioural disorders,89666.90219,
Male,2003,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",360926.7201,"Malignant neoplasms of trachea, bronchus, lung"
Male,2003,Total,Cancers,Malignant melanoma of skin,14511.08578,Malignant melanoma of skin
Female,2019,Total,Respiratory System,Pneumonia,115644.5581,
Female,2019,Total,Respiratory System,Influenza,6337.187983,
Female,2019,Total,External Causes,Assault,8164.726416,
Male,2004,Total,Other,Mental and behavioural disorders,87004.32735,
Male,2004,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",357673.3726,"Malignant neoplasms of trachea, bronchus, lung"
Male,2004,Total,Cancers,Malignant melanoma of skin,14666.58245,Malignant melanoma of skin
Female,2020,Total,Respiratory System,Pneumonia,95198.56127,
Female,2020,Total,Respiratory System,Influenza,3812.847144,
Female,2020,Total,External Causes,Assault,8515.708024,
Male,2005,Total,Other,Mental and behavioural disorders,90551.05372,
Male,2005,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",350421.3964,"Malignant neoplasms of trachea, bronchus, lung"
Male,2005,Total,Cancers,Malignant melanoma of skin,14159.53517,Malignant melanoma of skin
Male,2000,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14766.48296,
Male,2000,Total,Respiratory System,Asthma,18564.42372,
Male,2006,Total,Other,Mental and behavioural disorders,100581.3549,
Male,2006,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",353126.7472,"Malignant neoplasms of trachea, bronchus, lung"
Male,2006,Total,Cancers,Malignant melanoma of skin,15499.56253,Malignant melanoma of skin
Male,2001,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15119.36245,
Male,2001,Total,Respiratory System,Asthma,18703.87768,
Male,2007,Total,Other,Mental and behavioural disorders,102382.171,
Male,2007,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",351318.8268,"Malignant neoplasms of trachea, bronchus, lung"
Male,2007,Total,Cancers,Malignant melanoma of skin,15867.17887,Malignant melanoma of skin
Male,2002,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14937.97449,
Male,2002,Total,Respiratory System,Asthma,18815.45886,
Male,2008,Total,Other,Mental and behavioural disorders,111786.838,
Male,2008,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",348579.434,"Malignant neoplasms of trachea, bronchus, lung"
Male,2008,Total,Cancers,Malignant melanoma of skin,16331.52381,Malignant melanoma of skin
Male,2003,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15048.90405,
Male,2003,Total,Respiratory System,Asthma,16018.62909,
Male,2009,Total,Other,Mental and behavioural disorders,115268.9827,
Male,2009,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",364626.3702,"Malignant neoplasms of trachea, bronchus, lung"
Male,2009,Total,Cancers,Malignant melanoma of skin,17139.49671,Malignant melanoma of skin
Male,2004,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14636.86647,
Male,2004,Total,Respiratory System,Asthma,13727.62496,
Male,2010,Total,Other,Mental and behavioural disorders,121962.5683,
Male,2010,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",363097.1497,"Malignant neoplasms of trachea, bronchus, lung"
Male,2010,Total,Cancers,Malignant melanoma of skin,17539.79919,Malignant melanoma of skin
Male,2005,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14714.46194,
Male,2005,Total,Respiratory System,Asthma,11654.41671,
Male,2011,Total,Other,Mental and behavioural disorders,131900.4393,
Male,2011,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",355372.6844,"Malignant neoplasms of trachea, bronchus, lung"
Male,2011,Total,Cancers,Malignant melanoma of skin,17530.54257,Malignant melanoma of skin
Male,2006,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14920.95574,
Male,2006,Total,Respiratory System,Asthma,10582.1403,
Male,2012,Total,Other,Mental and behavioural disorders,142905.3678,
Male,2012,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",351350.6354,"Malignant neoplasms of trachea, bronchus, lung"
Male,2012,Total,Cancers,Malignant melanoma of skin,17454.97953,Malignant melanoma of skin
Male,2007,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14691.03019,
Male,2007,Total,Respiratory System,Asthma,9828.469858,
Male,2013,Total,Other,Mental and behavioural disorders,149923.1197,
Male,2013,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",348079.2903,"Malignant neoplasms of trachea, bronchus, lung"
Male,2013,Total,Cancers,Malignant melanoma of skin,18199.85357,Malignant melanoma of skin
Male,2008,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14487.07865,
Male,2008,Total,Respiratory System,Asthma,9051.383691,
Male,2014,Total,Other,Mental and behavioural disorders,150804.1129,
Male,2014,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",342043.9677,"Malignant neoplasms of trachea, bronchus, lung"
Male,2014,Total,Cancers,Malignant melanoma of skin,18031.20649,Malignant melanoma of skin
Male,2009,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15488.055,
Male,2009,Total,Respiratory System,Asthma,9607.010066,
Male,2015,Total,Other,Mental and behavioural disorders,153615.0874,
Male,2015,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",331815.618,"Malignant neoplasms of trachea, bronchus, lung"
Male,2015,Total,Cancers,Malignant melanoma of skin,17354.83151,Malignant melanoma of skin
Male,2010,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15677.88326,
Male,2010,Total,Respiratory System,Asthma,9172.485207,
Male,2016,Total,Other,Mental and behavioural disorders,151974.0814,
Male,2016,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",326576.6119,"Malignant neoplasms of trachea, bronchus, lung"
Male,2016,Total,Cancers,Malignant melanoma of skin,16553.42638,Malignant melanoma of skin
Male,2011,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15278.82254,
Male,2011,Total,Respiratory System,Asthma,8736.528805,
Male,2017,Total,Other,Mental and behavioural disorders,153332.2643,
Male,2017,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",282955.5339,"Malignant neoplasms of trachea, bronchus, lung"
Male,2017,Total,Cancers,Malignant melanoma of skin,15086.46411,Malignant melanoma of skin
Male,2012,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15660.83645,
Male,2012,Total,Respiratory System,Asthma,8483.143537,
Male,2018,Total,Other,Mental and behavioural disorders,144812.0277,
Male,2018,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",243832.2219,"Malignant neoplasms of trachea, bronchus, lung"
Male,2018,Total,Cancers,Malignant melanoma of skin,14037.65388,Malignant melanoma of skin
Male,2013,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",15947.40247,
Male,2013,Total,Respiratory System,Asthma,8342.334057,
Male,2019,Total,Other,Mental and behavioural disorders,139427.8443,
Male,2019,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",258132.0313,"Malignant neoplasms of trachea, bronchus, lung"
Male,2019,Total,Cancers,Malignant melanoma of skin,13727.58381,Malignant melanoma of skin
Male,2014,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",16492.50034,
Male,2014,Total,Respiratory System,Asthma,7746.998728,
Male,2020,Total,Other,Mental and behavioural disorders,130532.6866,
Male,2020,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",208805.1285,"Malignant neoplasms of trachea, bronchus, lung"
Male,2020,Total,Cancers,Malignant melanoma of skin,12449.82576,Malignant melanoma of skin
Male,2015,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",16861.95331,
Male,2015,Total,Respiratory System,Asthma,7612.783234,
Male,2021,Total,Other,Mental and behavioural disorders,12216.90471,
Male,2021,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",23376.98471,"Malignant neoplasms of trachea, bronchus, lung"
Male,2021,Total,Cancers,Malignant melanoma of skin,1800.259936,Malignant melanoma of skin
Male,2016,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",16815.7182,
Male,2016,Total,Respiratory System,Asthma,7253.732442,
Male,2017,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14959.69546,
Male,2017,Total,Respiratory System,Asthma,5408.116383,
Male,2018,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14062.14343,
Male,2018,Total,Respiratory System,Asthma,5088.871354,
Male,2019,Total,Other,"Congenital malformations, deformations and chromosomal abnormalities",14423.46099,
